variable,description
v2x_clpriv_codehigh,"Upper bound (HPD Interval 68/70%) - Private civil liberties index: Perlindungan hak milik pribadi, kebebasan beragama, dan kebebasan bergerak."
v2x_clpriv_sd,"Standard deviation of the posterior distribution - Private civil liberties index: Perlindungan hak milik pribadi, kebebasan beragama, dan kebebasan bergerak."
e_v2x_clpriv_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Private civil liberties index: Perlindungan hak milik pribadi, kebebasan beragama, dan kebebasan bergerak."
e_v2x_clpriv_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Private civil liberties index: Perlindungan hak milik pribadi, kebebasan beragama, dan kebebasan bergerak."
e_v2x_clpriv_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Private civil liberties index: Perlindungan hak milik pribadi, kebebasan beragama, dan kebebasan bergerak."
v2xcs_ccsi,"Core civil society index (D). Aggregated using Bayesian Factor Analysis (BFA) from CSO entry and exit (v2cseeorgs), CSO repression (v2csreprss), and CSO participatory environment (v2csprtcpt)."
v2xcs_ccsi_codelow,"Lower bound (HPD Interval 68/70%) - Core civil society index (D). Aggregated using Bayesian Factor Analysis (BFA) from CSO entry and exit (v2cseeorgs), CSO repression (v2csreprss), and CSO participatory environment (v2csprtcpt)."
v2xcs_ccsi_codehigh,"Upper bound (HPD Interval 68/70%) - Core civil society index (D). Aggregated using Bayesian Factor Analysis (BFA) from CSO entry and exit (v2cseeorgs), CSO repression (v2csreprss), and CSO participatory environment (v2csprtcpt)."
v2xcs_ccsi_sd,"Standard deviation of the posterior distribution - Core civil society index (D). Aggregated using Bayesian Factor Analysis (BFA) from CSO entry and exit (v2cseeorgs), CSO repression (v2csreprss), and CSO participatory environment (v2csprtcpt)."
e_v2xcs_ccsi_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Core civil society index (D). Aggregated using Bayesian Factor Analysis (BFA) from CSO entry and exit (v2cseeorgs), CSO repression (v2csreprss), and CSO participatory environment (v2csprtcpt)."
e_v2xcs_ccsi_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Core civil society index (D). Aggregated using Bayesian Factor Analysis (BFA) from CSO entry and exit (v2cseeorgs), CSO repression (v2csreprss), and CSO participatory environment (v2csprtcpt)."
e_v2xcs_ccsi_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Core civil society index (D). Aggregated using Bayesian Factor Analysis (BFA) from CSO entry and exit (v2cseeorgs), CSO repression (v2csreprss), and CSO participatory environment (v2csprtcpt)."
v2x_elecreg,"Index estimate (Point Estimate, Median value) - Electoral regime index: Keberadaan rezim pemilu yang kompetitif de facto."
v2x_elecreg_codelow,Lower bound (HPD Interval 68/70%) - Electoral regime index: Keberadaan rezim pemilu yang kompetitif de facto.
v2x_elecreg_codehigh,Upper bound (HPD Interval 68/70%) - Electoral regime index: Keberadaan rezim pemilu yang kompetitif de facto.
v2x_elecreg_sd,Standard deviation of the posterior distribution - Electoral regime index: Keberadaan rezim pemilu yang kompetitif de facto.
e_v2x_elecreg_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Electoral regime index: Keberadaan rezim pemilu yang kompetitif de facto."
e_v2x_elecreg_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Electoral regime index: Keberadaan rezim pemilu yang kompetitif de facto."
e_v2x_elecreg_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Electoral regime index: Keberadaan rezim pemilu yang kompetitif de facto."
v2xex_elecreg,"Index estimate (Point Estimate, Median value) - Executive electoral regime index: Keberadaan pemilu eksekutif yang kompetitif de facto."
v2xex_elecreg_codelow,Lower bound (HPD Interval 68/70%) - Executive electoral regime index: Keberadaan pemilu eksekutif yang kompetitif de facto.
v2xex_elecreg_codehigh,Upper bound (HPD Interval 68/70%) - Executive electoral regime index: Keberadaan pemilu eksekutif yang kompetitif de facto.
v2xex_elecreg_sd,Standard deviation of the posterior distribution - Executive electoral regime index: Keberadaan pemilu eksekutif yang kompetitif de facto.
e_v2xex_elecreg_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Executive electoral regime index: Keberadaan pemilu eksekutif yang kompetitif de facto."
e_v2xex_elecreg_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Executive electoral regime index: Keberadaan pemilu eksekutif yang kompetitif de facto."
e_v2xex_elecreg_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Executive electoral regime index: Keberadaan pemilu eksekutif yang kompetitif de facto."
v2xlg_elecreg,"Index estimate (Point Estimate, Median value) - Legislative electoral regime index: Keberadaan pemilu legislatif yang kompetitif de facto."
v2xlg_elecreg_codelow,Lower bound (HPD Interval 68/70%) - Legislative electoral regime index: Keberadaan pemilu legislatif yang kompetitif de facto.
v2xlg_elecreg_codehigh,Upper bound (HPD Interval 68/70%) - Legislative electoral regime index: Keberadaan pemilu legislatif yang kompetitif de facto.
v2xlg_elecreg_sd,Standard deviation of the posterior distribution - Legislative electoral regime index: Keberadaan pemilu legislatif yang kompetitif de facto.
e_v2xlg_elecreg_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Legislative electoral regime index: Keberadaan pemilu legislatif yang kompetitif de facto."
e_v2xlg_elecreg_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Legislative electoral regime index: Keberadaan pemilu legislatif yang kompetitif de facto."
e_v2xlg_elecreg_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Legislative electoral regime index: Keberadaan pemilu legislatif yang kompetitif de facto."
v2x_EDcomp_thick,"Index estimate (Point Estimate, Median value) - Electoral component index (D). Aggregated via mixed additive-multiplicative formula of four sub-components: Formula: 0.125 * v2x_frassoc_thick + 0.125 * v2x_suffr + 0.125 * v2xel_frefair + 0.125 * v2x_elecoff + 0.5 * (v2x_frassoc_thick * v2x_suffr * v2xel_frefair * v2x_elecoff)."
v2x_EDcomp_thick_codelow,Lower bound (HPD Interval 68/70%) - Electoral component index (D). Aggregated via mixed additive-multiplicative formula of four sub-components: Formula: 0.125 * v2x_frassoc_thick + 0.125 * v2x_suffr + 0.125 * v2xel_frefair + 0.125 * v2x_elecoff + 0.5 * (v2x_frassoc_thick * v2x_suffr * v2xel_frefair * v2x_elecoff).
v2x_EDcomp_thick_codehigh,Upper bound (HPD Interval 68/70%) - Electoral component index (D). Aggregated via mixed additive-multiplicative formula of four sub-components: Formula: 0.125 * v2x_frassoc_thick + 0.125 * v2x_suffr + 0.125 * v2xel_frefair + 0.125 * v2x_elecoff + 0.5 * (v2x_frassoc_thick * v2x_suffr * v2xel_frefair * v2x_elecoff).
v2x_EDcomp_thick_sd,Standard deviation of the posterior distribution - Electoral component index (D). Aggregated via mixed additive-multiplicative formula of four sub-components: Formula: 0.125 * v2x_frassoc_thick + 0.125 * v2x_suffr + 0.125 * v2xel_frefair + 0.125 * v2x_elecoff + 0.5 * (v2x_frassoc_thick * v2x_suffr * v2xel_frefair * v2x_elecoff).
e_v2x_EDcomp_thick_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Electoral component index (D). Aggregated via mixed additive-multiplicative formula of four sub-components: Formula: 0.125 * v2x_frassoc_thick + 0.125 * v2x_suffr + 0.125 * v2xel_frefair + 0.125 * v2x_elecoff + 0.5 * (v2x_frassoc_thick * v2x_suffr * v2xel_frefair * v2x_elecoff)."
e_v2x_EDcomp_thick_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Electoral component index (D). Aggregated via mixed additive-multiplicative formula of four sub-components: Formula: 0.125 * v2x_frassoc_thick + 0.125 * v2x_suffr + 0.125 * v2xel_frefair + 0.125 * v2x_elecoff + 0.5 * (v2x_frassoc_thick * v2x_suffr * v2xel_frefair * v2x_elecoff)."
e_v2x_EDcomp_thick_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Electoral component index (D). Aggregated via mixed additive-multiplicative formula of four sub-components: Formula: 0.125 * v2x_frassoc_thick + 0.125 * v2x_suffr + 0.125 * v2xel_frefair + 0.125 * v2x_elecoff + 0.5 * (v2x_frassoc_thick * v2x_suffr * v2xel_frefair * v2x_elecoff)."
v2x_freexp,"Index estimate (Point Estimate, Median value) - Freedom of expression index (D). Aggregated using Bayesian Factor Analysis (BFA) from media censorship (v2mecenefm), journalist harassment (v2meharjrn), self-censorship (v2meslfcen), critical media (v2mecrit), and media perspectives (v2merange)."
v2x_freexp_codelow,"Lower bound (HPD Interval 68/70%) - Freedom of expression index (D). Aggregated using Bayesian Factor Analysis (BFA) from media censorship (v2mecenefm), journalist harassment (v2meharjrn), self-censorship (v2meslfcen), critical media (v2mecrit), and media perspectives (v2merange)."
v2x_freexp_codehigh,"Upper bound (HPD Interval 68/70%) - Freedom of expression index (D). Aggregated using Bayesian Factor Analysis (BFA) from media censorship (v2mecenefm), journalist harassment (v2meharjrn), self-censorship (v2meslfcen), critical media (v2mecrit), and media perspectives (v2merange)."
v2x_freexp_sd,"Standard deviation of the posterior distribution - Freedom of expression index (D). Aggregated using Bayesian Factor Analysis (BFA) from media censorship (v2mecenefm), journalist harassment (v2meharjrn), self-censorship (v2meslfcen), critical media (v2mecrit), and media perspectives (v2merange)."
e_v2x_freexp_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Freedom of expression index (D). Aggregated using Bayesian Factor Analysis (BFA) from media censorship (v2mecenefm), journalist harassment (v2meharjrn), self-censorship (v2meslfcen), critical media (v2mecrit), and media perspectives (v2merange)."
e_v2x_freexp_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Freedom of expression index (D). Aggregated using Bayesian Factor Analysis (BFA) from media censorship (v2mecenefm), journalist harassment (v2meharjrn), self-censorship (v2meslfcen), critical media (v2mecrit), and media perspectives (v2merange)."
e_v2x_freexp_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Freedom of expression index (D). Aggregated using Bayesian Factor Analysis (BFA) from media censorship (v2mecenefm), journalist harassment (v2meharjrn), self-censorship (v2meslfcen), critical media (v2mecrit), and media perspectives (v2merange)."
v2xcl_disc,Freedom of discussion index (D). Straight average of freedom of discussion for men (v2cldiscm) and women (v2cldiscw). Formula: (v2cldiscm + v2cldiscw) / 2.
v2xcl_disc_codelow,Lower bound (HPD Interval 68/70%) - Freedom of discussion index (D). Straight average of freedom of discussion for men (v2cldiscm) and women (v2cldiscw). Formula: (v2cldiscm + v2cldiscw) / 2.
v2xcl_disc_codehigh,Upper bound (HPD Interval 68/70%) - Freedom of discussion index (D). Straight average of freedom of discussion for men (v2cldiscm) and women (v2cldiscw). Formula: (v2cldiscm + v2cldiscw) / 2.
v2xcl_disc_sd,Standard deviation of the posterior distribution - Freedom of discussion index (D). Straight average of freedom of discussion for men (v2cldiscm) and women (v2cldiscw). Formula: (v2cldiscm + v2cldiscw) / 2.
e_v2xcl_disc_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Freedom of discussion index (D). Straight average of freedom of discussion for men (v2cldiscm) and women (v2cldiscw). Formula: (v2cldiscm + v2cldiscw) / 2."
e_v2xcl_disc_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Freedom of discussion index (D). Straight average of freedom of discussion for men (v2cldiscm) and women (v2cldiscw). Formula: (v2cldiscm + v2cldiscw) / 2."
e_v2xcl_disc_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Freedom of discussion index (D). Straight average of freedom of discussion for men (v2cldiscm) and women (v2cldiscw). Formula: (v2cldiscm + v2cldiscw) / 2."
v2xcl_dmove,Freedom of domestic movement index (D). Straight average of freedom of domestic movement for men (v2cldmovem) and women (v2cldmovew). Formula: (v2cldmovem + v2cldmovew) / 2.
v2xcl_dmove_codelow,Lower bound (HPD Interval 68/70%) - Freedom of domestic movement index (D). Straight average of freedom of domestic movement for men (v2cldmovem) and women (v2cldmovew). Formula: (v2cldmovem + v2cldmovew) / 2.
v2xcl_dmove_codehigh,Upper bound (HPD Interval 68/70%) - Freedom of domestic movement index (D). Straight average of freedom of domestic movement for men (v2cldmovem) and women (v2cldmovew). Formula: (v2cldmovem + v2cldmovew) / 2.
v2xcl_dmove_sd,Standard deviation of the posterior distribution - Freedom of domestic movement index (D). Straight average of freedom of domestic movement for men (v2cldmovem) and women (v2cldmovew). Formula: (v2cldmovem + v2cldmovew) / 2.
e_v2xcl_dmove_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Freedom of domestic movement index (D). Straight average of freedom of domestic movement for men (v2cldmovem) and women (v2cldmovew). Formula: (v2cldmovem + v2cldmovew) / 2."
e_v2xcl_dmove_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Freedom of domestic movement index (D). Straight average of freedom of domestic movement for men (v2cldmovem) and women (v2cldmovew). Formula: (v2cldmovem + v2cldmovew) / 2."
e_v2xcl_dmove_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Freedom of domestic movement index (D). Straight average of freedom of domestic movement for men (v2cldmovem) and women (v2cldmovew). Formula: (v2cldmovem + v2cldmovew) / 2."
v2xcl_slave,Freedom from forced labor index (D). Straight average of freedom from forced labor for men (v2clslavem) and women (v2clslavef). Formula: (v2clslavem + v2clslavef) / 2.
